Image,Position,Pixel_X,Pixel_Y,Target_X_m,Target_Y_m,Target_Z_m,Converged,Error_mm,Steps,Time_sec,Dispensed
test_image_01.png,5,2520,1795,0.16237274176408076,0.07809989373007438,0.175,True,0.8784400628836087,835,0.07973909378051758,True
test_image_01.png,4,2007,1794,0.1624258767268863,0.10535812964930924,0.175,True,0.9738230532931851,804,0.06762814521789551,True
test_image_01.png,2,955,1544,0.1757096174282678,0.16125611052072264,0.175,True,0.9788190813782339,824,0.06960892677307129,True
test_image_01.png,1,316,1079,0.2004173751328374,0.19520935175345377,0.175,True,0.9657780743510519,817,0.06897115707397461,True
test_image_02.png,2,853,1490,0.17857890541976618,0.16667587672688627,0.175,True,0.9738211630018915,835,0.08096814155578613,True
test_image_02.png,1,459,1425,0.1820326780021254,0.18761105207226353,0.175,True,0.9455976581235412,801,0.06664109230041504,True
test_image_02.png,5,2343,1383,0.18426434643995748,0.0875047821466525,0.175,True,0.9958562908197668,831,0.06820511817932129,True
test_image_02.png,4,1758,1363,0.185327045696068,0.11858873538788522,0.175,True,0.9941474422500718,810,0.06870675086975098,True
test_image_02.png,3,1394,1328,0.1871867693942614,0.13792986184909672,0.175,True,0.9339014863389246,798,0.07045698165893555,True
test_image_03.png,2,909,600,0.2259028662420382,0.1637515923566879,0.175,True,0.8764766898702528,836,0.08143806457519531,True
test_image_03.png,4,1925,594,0.22622133757961782,0.10982377919320593,0.175,True,0.9815611829741401,824,0.06795597076416016,True
test_image_04.png,2,830,1521,0.17600510569688282,0.16739233249731278,0.175,True,0.7211641233781131,836,0.08032608032226562,True
test_image_04.png,5,2274,1493,0.1775099426728771,0.08978573987817987,0.175,True,0.9338058459571109,831,0.06713104248046875,True
test_image_04.png,4,1834,1476,0.17842359369401645,0.11343317807237549,0.175,True,0.9388173289622296,802,0.06660580635070801,True
test_image_04.png,3,1320,1445,0.18008966320315298,0.14105768541741312,0.175,True,0.9670578311173507,809,0.06828999519348145,True
test_image_04.png,1,360,688,0.22077400573271228,0.19265209602293085,0.175,True,0.9801780791971791,825,0.0730741024017334,True
test_image_05.png,1,394,665,0.22201012182013613,0.19082479398065208,0.175,True,0.9652492349592011,836,0.08151984214782715,True
test_image_05.png,4,1905,627,0.2240524005732712,0.10961734145467575,0.175,True,0.9891226601276147,829,0.06744503974914551,True
test_image_06.png,1,408,810,0.21421721605159438,0.19007237549265496,0.175,True,0.9439177300191627,836,0.08166027069091797,True
test_image_06.png,2,875,754,0.21722689000358292,0.16497384450017916,0.175,True,0.9401409909463875,806,0.06601428985595703,True
test_image_06.png,4,1872,727,0.2186779828018631,0.11139089931924041,0.175,True,0.9172525521352979,826,0.06988191604614258,True
test_image_06.png,5,2464,714,0.21937665711214616,0.07957434611250448,0.175,True,0.9313323841942412,815,0.06860113143920898,True
test_image_07.png,3,1359,2590,0.11850268817204301,0.13893548387096774,0.175,True,0.7502527804637477,834,0.08341121673583984,True
test_image_07.png,2,574,2523,0.12210483870967742,0.18113978494623656,0.175,True,0.944590607802509,818,0.06658196449279785,True
test_image_07.png,1,185,2458,0.12559946236559139,0.2020537634408602,0.175,True,0.9795151537412832,800,0.0672450065612793,True
test_image_07.png,4,1650,2196,0.13968548387096774,0.12329032258064515,0.175,True,0.9136851205309935,830,0.0706932544708252,True
test_image_07.png,5,2417,1160,0.19538440860215053,0.08205376344086023,0.175,True,0.8756651832969601,828,0.07258486747741699,True
test_image_08.png,4,1947,915,0.20913150903294364,0.1085462274176408,0.175,True,0.9686779752083099,835,0.08038187026977539,True
test_image_08.png,5,2480,869,0.21157571732199787,0.08022529224229544,0.175,True,0.9827453005636676,810,0.0659940242767334,True
test_image_08.png,1,427,867,0.2116819872476089,0.1893113708820404,0.175,True,0.9244046161492161,832,0.07050085067749023,True
test_image_08.png,2,962,858,0.21216020191285861,0.16088416578108394,0.175,True,0.93182392205071,812,0.06844592094421387,True
test_image_09.png,3,1388,1231,0.1923871681415929,0.1383008849557522,0.175,True,0.9786603390379406,835,0.08032608032226562,True
test_image_09.png,4,1970,1200,0.19403318584070794,0.10739823008849557,0.175,True,0.9042417293935292,816,0.06703019142150879,True
test_image_09.png,2,860,1159,0.19621017699115043,0.1663362831858407,0.175,True,0.9363384939416474,825,0.06947994232177734,True
test_image_09.png,5,2334,1152,0.19658185840707962,0.08807079646017699,0.175,True,0.9293806194521701,829,0.06920695304870605,True
test_image_09.png,1,312,1103,0.19918362831858405,0.19543362831858407,0.175,True,0.8417116737819994,832,0.06762099266052246,True
test_image_10.png,1,414,817,0.21384100680759582,0.18974991042637046,0.175,True,0.8668970415569487,836,0.07837891578674316,True
test_image_10.png,2,942,800,0.2147546578287352,0.1613729845933357,0.175,True,0.9339941340474263,810,0.06212186813354492,True
test_image_10.png,4,1837,794,0.21507712289501968,0.11327194553923325,0.175,True,0.9361537614502189,824,0.07084274291992188,True
test_image_10.png,3,1411,730,0.21851675026872086,0.13616696524543176,0.175,True,0.9739878906430605,798,0.0671229362487793,True
test_image_10.png,5,2427,627,0.2240524005732712,0.08156288068792547,0.175,True,0.9385832009695226,824,0.08166027069091797,True
test_image_11.png,4,1922,2116,0.14539601769911503,0.10994690265486726,0.175,True,0.8740627147169316,834,0.07267189025878906,True
test_image_11.png,2,657,2069,0.14789159292035398,0.17711504424778762,0.175,True,0.9384772166951167,826,0.06669211387634277,True
test_image_11.png,5,2154,2054,0.14868805309734512,0.0976283185840708,0.175,True,0.9781088298733355,829,0.05975008010864258,True
test_image_11.png,1,92,1963,0.15351991150442476,0.2071150442477876,0.175,True,0.9185424010532541,832,0.05861306190490723,True
test_image_11.png,3,1317,1933,0.15511283185840707,0.14207079646017698,0.175,True,0.929292136526394,827,0.07489800453186035,True
test_image_12.png,5,2321,1936,0.15491713881019828,0.08871742209631728,0.175,True,0.9478480707048594,834,0.0638420581817627,True
test_image_12.png,1,361,1859,0.1590070821529745,0.19282507082152975,0.175,True,0.9297256321848945,831,0.05361604690551758,True
test_image_12.png,4,1962,1780,0.16320325779036826,0.10778611898016997,0.175,True,0.9193416838171028,830,0.05824112892150879,True
test_image_12.png,2,930,1646,0.17032082152974504,0.16260198300283285,0.175,True,0.9100391087471353,824,0.06186699867248535,True
test_image_12.png,3,1321,1556,0.1751012747875354,0.14183356940509917,0.175,True,0.9871674806525049,797,0.060487985610961914,True
test_image_13.png,3,1420,1151,0.19661331444759203,0.13657507082152975,0.175,True,0.992381681281617,835,0.0806269645690918,True
test_image_13.png,5,2474,1127,0.1978881019830028,0.08059065155807366,0.175,True,0.9162072664205313,827,0.06614208221435547,True
test_image_13.png,1,449,1078,0.20049079320113314,0.18815084985835695,0.175,True,0.9571006102057239,831,0.06942582130432129,True
test_image_13.png,2,901,1026,0.20325283286118978,0.16414235127478755,0.175,True,0.964010279968307,805,0.06841516494750977,True
test_image_13.png,4,1992,941,0.20776770538243622,0.10619263456090651,0.175,True,0.9079399662890247,826,0.07355022430419922,True
test_image_14.png,4,1861,1878,0.15674605593402652,0.11191036213696666,0.175,True,0.9067167692085427,834,0.08154702186584473,True
test_image_14.png,5,2216,1667,0.168094209394048,0.09281749731086411,0.175,True,0.9665464513864787,802,0.06608390808105469,True
test_image_14.png,1,128,1519,0.17605405163140908,0.20511581211903906,0.175,True,0.9169640614304376,832,0.07002115249633789,True
test_image_14.png,3,1258,1332,0.1861114198637504,0.14434134098243098,0.175,True,0.965112168612839,826,0.06951594352722168,True
test_image_14.png,2,910,609,0.22499632484761561,0.1630577267837935,0.175,True,0.9702405290938882,817,0.07231402397155762,True
test_image_15.png,1,437,1002,0.20387903225806447,0.188505376344086,0.175,True,0.8464573566659414,836,0.08246278762817383,True
test_image_15.png,3,1407,723,0.2188790322580645,0.1363548387096774,0.175,True,0.9905497795491408,823,0.06703591346740723,True
test_image_16.png,2,808,973,0.2054569150841992,0.16857470440702257,0.175,True,0.8445850089425159,836,0.08123397827148438,True
test_image_16.png,3,1323,972,0.20551065926191325,0.14089645288427086,0.175,True,0.9091265094622446,810,0.06603002548217773,True
test_image_16.png,4,1851,946,0.20690800788247937,0.1125195270512361,0.175,True,0.9805056498764168,811,0.06822395324707031,True
test_image_16.png,1,403,820,0.21367977427445356,0.19034109638122534,0.175,True,0.9540003269593662,828,0.06992292404174805,True
test_image_16.png,5,2374,771,0.21631323898244353,0.08441132210677176,0.175,True,0.9924774308394541,832,0.07355380058288574,True
test_image_17.png,2,612,2155,0.14328470254957507,0.17949291784702548,0.175,True,0.8387065307966304,835,0.06586599349975586,True
test_image_17.png,3,1346,1987,0.1522082152974504,0.1405056657223796,0.175,True,0.9943682148797045,819,0.06956005096435547,True
test_image_17.png,4,2024,1796,0.16235339943342775,0.1044929178470255,0.175,True,0.9418117142541584,818,0.06713104248046875,True
test_image_17.png,1,287,1676,0.16872733711048157,0.1967556657223796,0.175,True,0.956056635634519,830,0.06758499145507812,True
test_image_17.png,5,2542,1649,0.17016147308781868,0.07697875354107649,0.175,True,0.9220517127804355,833,0.07166695594787598,True
test_image_18.png,5,2428,990,0.2045432640630598,0.0815091365102114,0.175,True,0.7512338153313426,836,0.0815119743347168,True
test_image_18.png,1,393,921,0.2082516123253314,0.19087853815836617,0.175,True,0.8857161666310074,832,0.06879997253417969,True
test_image_18.png,4,1939,912,0.20873530992475814,0.10779003941239698,0.175,True,0.9122571330637204,830,0.07044005393981934,True
test_image_18.png,2,866,701,0.22007533142242922,0.1654575420996059,0.175,True,0.9656923400974312,824,0.0698099136352539,True
test_image_18.png,3,1394,593,0.22587970261554996,0.13708061626657114,0.175,True,0.9282343218277959,812,0.07249593734741211,True
test_image_19.png,5,2556,853,0.21244192634560904,0.07623512747875354,0.175,True,0.7427574584427762,836,0.0807187557220459,True
test_image_19.png,4,1933,845,0.2128668555240793,0.10932648725212463,0.175,True,0.9270799235413884,812,0.06557798385620117,True
test_image_19.png,1,450,833,0.2135042492917847,0.18809773371104815,0.175,True,0.9242532962987342,829,0.06624603271484375,True
test_image_19.png,3,1406,833,0.2135042492917847,0.13731869688385268,0.175,True,0.9083025499786735,825,0.06820988655090332,True
test_image_19.png,2,942,810,0.21472592067988666,0.16196458923512747,0.175,True,0.9674296554231906,801,0.06511187553405762,True
